testy_trawy_i;testy_trawy_ii
3;4.666666666666666667
5;4.666666666666666667
5;5
4;4.666666666666666667
5;4
5;5
5;5
3;4.666666666666666667
5;4.666666666666666667
3;4.4
5;4.666666666666666667
4;4.666666666666666667
2;4.666666666666666667
4;5
5;4.666666666666666667
5;4.666666666666666667
4.4;4.666666666666666667
5;4.666666666666666667
4;4.666666666666666667
5;4.666666666666666667
5;4.666666666666666667
5;4.666666666666666667
3;4.666666666666666667
4;4.666666666666666667
